,AGE,GENDER,IS_COBRAND,TIER,YEARS_IN_PROGRAM,IS_AIRACCRUAL,IS_HOTELREDEMPTION,IS_INACTIVE
142,19,female,1,silver,4,0,0,1
143,53,female,0,platinum,1,1,0,0
144,14,male,1,silver,7,1,1,0
145,35,male,1,platinum,10,0,0,1
146,33,unknown,0,base,3,0,0,1
147,15,male,1,silver,2,1,1,0
148,29,female,1,base,11,0,1,0
149,38,female,0,silver,3,0,1,1
150,44,female,1,platinum,6,0,1,1
151,34,female,1,platinum,4,1,0,0
152,40,female,1,silver,8,0,0,1
153,55,female,0,platinum,2,1,0,0
154,60,female,1,gold,1,1,1,1
155,62,male,1,platinum,10,1,0,1
156,25,unknown,1,base,4,1,1,1
157,73,unknown,0,platinum,3,1,0,1
158,65,unknown,1,gold,8,1,0,0
159,63,unknown,0,base,5,1,1,0
160,31,female,1,gold,4,0,1,0
161,24,male,0,gold,5,1,0,0
162,18,male,1,gold,10,0,1,1
163,67,female,1,silver,3,1,1,0
164,39,female,1,platinum,4,1,1,1
165,71,male,1,base,1,0,0,1
166,21,unknown,0,base,9,1,0,1
167,70,unknown,1,platinum,5,1,0,0
168,45,female,0,platinum,9,1,0,0
169,65,male,1,base,2,0,0,1
170,15,male,1,silver,4,0,1,1
171,23,male,0,platinum,1,1,1,1
172,16,female,0,silver,10,1,0,0
173,52,female,0,gold,9,1,0,0
174,70,male,0,platinum,2,1,0,1
175,20,female,1,gold,8,1,0,1
176,17,female,1,base,11,0,0,0
177,40,male,1,gold,8,0,1,0
178,26,unknown,0,base,2,1,0,0
179,22,unknown,1,gold,2,1,1,0
180,18,unknown,0,base,10,1,1,0
181,16,female,0,gold,8,0,1,0
182,56,male,0,silver,7,1,0,0
183,60,female,1,platinum,10,0,1,1
184,57,female,0,base,2,1,1,1
185,55,unknown,1,gold,4,1,0,0
186,54,male,0,silver,6,0,0,0
187,45,unknown,0,gold,2,0,1,0
188,41,male,1,platinum,6,1,0,1
189,50,male,1,silver,5,0,0,0
190,69,unknown,1,gold,9,0,0,0
191,44,unknown,1,gold,7,1,0,1
192,39,unknown,0,silver,10,1,1,1
193,69,male,1,platinum,4,1,0,1
194,53,male,1,gold,9,1,0,0
195,62,unknown,1,gold,7,0,1,0
196,53,female,0,gold,5,0,0,0
197,34,male,1,silver,10,1,0,0
198,54,male,0,platinum,10,1,1,1
199,50,male,1,silver,6,0,0,0
200,26,unknown,0,silver,4,1,0,1
201,29,unknown,0,base,8,0,0,1
202,31,female,0,gold,1,0,1,0
203,46,male,0,gold,11,0,1,0
204,61,male,1,silver,8,1,0,1
205,48,female,1,base,5,1,1,0
206,16,male,0,silver,8,1,1,0
207,21,unknown,1,gold,3,0,1,0
208,45,male,1,silver,7,1,0,1
209,51,unknown,0,base,1,1,0,1
210,36,unknown,1,platinum,5,1,0,0
211,33,male,1,platinum,6,0,0,0
212,15,unknown,0,base,6,0,1,1
213,41,male,0,platinum,3,1,1,1
214,32,female,0,gold,10,1,0,1
215,72,male,1,silver,4,1,1,0
216,72,unknown,0,base,5,0,0,0
217,14,female,1,gold,3,0,1,0
218,17,male,0,silver,1,1,1,1
219,39,unknown,0,silver,10,0,0,1
220,58,unknown,1,base,3,0,0,0
221,48,male,0,platinum,6,1,0,0
222,55,female,0,platinum,11,0,0,1
223,47,male,1,platinum,11,1,0,1
224,74,male,1,platinum,11,1,0,0
225,49,female,1,silver,5,0,0,0
226,62,female,1,gold,7,1,1,0
227,69,female,0,gold,4,0,1,1
228,40,unknown,1,gold,11,0,0,1
229,69,unknown,0,platinum,3,1,0,1
230,66,female,0,gold,2,0,0,1
231,21,female,0,gold,6,0,1,0
232,39,unknown,0,base,9,1,0,1
233,49,female,0,base,3,1,1,0
234,47,male,1,gold,9,1,0,1
235,35,male,0,gold,3,0,0,1
236,12,female,1,base,11,0,0,0
237,71,male,0,base,9,0,1,0
238,25,male,1,base,5,1,1,1
239,23,unknown,1,silver,3,0,0,0
240,39,female,0,platinum,2,0,0,1
241,42,female,0,platinum,4,1,0,0
242,34,female,0,platinum,3,0,1,1
243,38,male,0,silver,6,0,0,1
244,65,female,1,gold,5,0,0,0
245,16,male,0,platinum,11,0,1,0
246,22,unknown,1,silver,2,0,0,0
247,42,male,1,silver,4,0,0,0
248,63,male,1,gold,1,0,0,1
249,57,male,1,silver,2,1,0,1
250,66,unknown,1,base,8,1,1,0
251,44,female,1,gold,7,1,1,1
252,54,unknown,0,base,2,0,0,0
253,73,unknown,1,base,3,0,0,0
254,63,unknown,1,silver,3,1,0,1
255,71,male,1,silver,6,0,1,1
256,70,unknown,1,platinum,5,1,1,0
257,21,unknown,0,gold,9,1,0,0
258,46,female,0,silver,2,0,0,0
259,45,female,1,gold,11,1,0,0
260,36,unknown,1,silver,9,1,1,1
261,60,unknown,1,platinum,3,1,1,0
262,22,male,0,platinum,2,1,1,1
263,60,unknown,1,silver,6,1,1,1
264,45,unknown,1,silver,3,0,1,0
265,37,male,1,base,6,1,1,1
266,14,unknown,0,platinum,6,0,1,0
267,59,female,0,platinum,2,0,0,1
268,49,male,1,base,2,1,0,0
269,62,unknown,0,gold,7,0,0,0
270,13,unknown,1,silver,3,1,1,1
271,18,unknown,1,platinum,9,1,1,0
272,65,female,1,silver,6,1,0,0
273,40,female,0,silver,4,0,1,0
274,60,male,1,base,1,0,1,0
275,69,unknown,0,gold,4,1,1,1
276,27,female,1,base,8,0,0,0
277,58,female,1,silver,1,1,1,0
278,19,female,0,platinum,2,1,0,1
279,43,unknown,1,gold,2,0,0,0
280,49,female,1,silver,1,1,1,1
281,48,male,0,gold,4,1,0,0
282,45,male,0,base,9,1,0,0
283,23,unknown,1,gold,3,1,1,0
284,46,unknown,1,silver,10,1,1,1
285,66,male,0,platinum,8,0,0,1
286,31,female,0,base,8,1,1,0
287,51,male,0,platinum,6,0,0,0
288,26,female,1,gold,6,0,1,1
289,26,male,1,gold,3,1,1,1
290,68,male,0,gold,2,0,1,0
291,63,unknown,0,platinum,5,0,0,0
292,52,female,0,silver,3,1,0,0
293,45,unknown,0,platinum,8,1,0,0
294,17,unknown,0,gold,10,1,1,0
295,44,female,1,silver,6,0,0,1
296,59,female,1,base,1,0,0,1
297,12,female,0,base,6,0,0,1
298,67,male,1,gold,1,1,1,1
299,42,male,1,gold,11,0,1,0
300,72,male,1,gold,9,1,1,1
301,28,unknown,0,silver,9,1,0,0
302,45,female,0,platinum,6,0,1,0
303,36,male,0,platinum,1,0,1,0
304,55,female,1,gold,11,0,1,0
305,21,male,0,silver,11,0,0,1
306,71,male,0,platinum,10,1,0,0
307,43,female,0,gold,1,1,0,1
308,48,unknown,1,base,3,1,1,0
309,70,unknown,1,gold,8,1,0,1
310,15,male,1,silver,3,1,1,1
311,49,male,0,platinum,11,0,1,0
312,63,male,0,platinum,8,1,1,0
313,30,male,0,platinum,8,1,0,0
314,67,male,0,gold,11,0,1,1
315,34,unknown,0,gold,9,1,1,0
316,12,female,0,platinum,4,0,1,0
317,68,male,1,platinum,9,0,0,0
318,17,unknown,1,gold,4,1,0,1
319,36,female,1,silver,4,0,0,1
320,32,female,1,base,3,0,0,0
321,46,female,0,platinum,1,0,0,1
322,26,male,1,base,11,0,0,0
323,61,male,1,base,1,0,1,1
324,32,unknown,1,base,1,1,0,0
325,60,male,1,base,9,0,0,0
326,46,unknown,0,base,10,1,1,0
327,36,unknown,0,silver,11,1,1,0
328,64,female,1,gold,10,1,0,1
329,19,male,0,platinum,2,1,1,1
330,38,unknown,0,base,1,0,1,1
331,46,male,0,gold,2,0,0,1
332,48,unknown,1,silver,4,0,1,1
333,48,unknown,0,gold,9,0,0,0
334,20,female,1,silver,4,1,1,1
335,47,male,0,base,10,0,0,0
336,18,unknown,0,base,6,0,1,1
337,36,unknown,0,silver,9,1,1,1
338,42,unknown,1,base,6,0,1,0
339,20,male,1,silver,4,0,1,0
340,57,male,0,platinum,8,1,1,0
341,29,unknown,1,gold,5,0,1,1
342,36,unknown,0,gold,3,1,1,1
343,19,unknown,0,silver,1,0,1,1
344,71,male,0,silver,1,1,0,1
345,68,unknown,0,gold,6,0,0,0
346,40,female,1,gold,9,0,1,0
347,37,unknown,0,base,4,0,1,0
348,13,male,0,base,2,0,1,0
349,14,unknown,0,gold,10,1,1,0
350,71,unknown,1,platinum,7,0,1,0
351,45,unknown,1,platinum,8,1,0,1
352,17,male,1,gold,6,0,1,0
353,54,female,1,gold,3,0,1,1
354,41,unknown,0,platinum,1,0,1,0
355,54,female,1,base,4,0,0,1
356,55,female,1,platinum,8,1,1,1
357,62,male,0,base,1,0,0,0
358,35,female,0,silver,6,1,0,1
359,14,male,0,platinum,9,1,1,0
360,28,unknown,1,silver,8,0,1,0
361,38,female,0,base,8,0,0,1
362,53,male,0,gold,7,0,0,0
363,66,female,1,base,11,1,0,1
364,41,female,1,gold,8,1,1,1
365,53,female,0,silver,6,1,0,0
366,49,female,1,base,4,0,1,1
367,57,male,0,gold,8,0,0,1
368,47,unknown,0,base,6,1,1,0
369,36,male,1,gold,6,0,0,0
370,36,female,1,base,3,0,1,0
371,41,male,0,platinum,4,1,1,1
372,72,male,1,platinum,1,0,1,1
373,58,female,0,platinum,1,1,0,1
374,16,unknown,1,gold,1,0,1,0
375,47,male,0,platinum,5,0,1,0
376,44,female,0,platinum,4,1,0,1
377,36,unknown,1,silver,2,1,1,1
378,73,female,0,gold,7,0,1,1
379,74,male,1,gold,2,0,0,1
380,61,male,0,platinum,5,0,1,0
381,36,unknown,0,base,7,0,1,1
382,74,unknown,0,gold,8,1,0,1
383,65,unknown,0,platinum,8,1,0,0
384,68,unknown,1,platinum,10,0,1,0
385,59,unknown,1,platinum,7,1,0,0
386,24,male,1,gold,6,1,1,1
387,69,female,1,platinum,10,0,0,1
388,48,male,1,gold,11,1,1,1
389,49,female,0,gold,10,1,0,0
390,72,female,0,base,2,0,1,1
391,12,male,1,silver,4,0,0,0
392,33,unknown,1,platinum,9,1,0,0
393,58,female,0,silver,3,1,0,0
394,56,male,0,silver,10,1,0,1
395,48,female,1,gold,6,1,1,0
396,24,male,0,silver,4,1,0,0
397,43,male,0,base,3,0,0,0
398,19,unknown,1,base,3,1,0,0
399,44,male,0,base,9,1,1,0
400,38,male,0,base,11,0,0,0
401,69,male,1,silver,5,0,1,0
402,61,unknown,1,base,8,1,1,1
403,36,male,1,gold,3,1,1,0
404,47,female,0,base,3,0,1,1
405,46,male,1,base,5,0,1,1
406,67,male,1,base,5,1,0,1
407,20,unknown,0,gold,2,0,0,0
408,73,male,1,gold,6,1,1,1
409,29,unknown,1,base,10,0,0,0
410,42,female,1,gold,7,0,1,1
411,57,male,0,platinum,2,1,0,0
412,29,male,0,base,8,0,1,1
413,18,unknown,0,platinum,8,1,1,0
414,58,unknown,1,silver,6,0,1,0
415,29,male,1,platinum,9,0,1,1
416,68,female,0,gold,5,0,1,0
417,21,male,0,base,1,1,1,1
418,57,male,1,silver,11,1,0,1
419,67,unknown,1,gold,11,0,0,0
420,21,unknown,0,base,5,1,1,1
421,27,unknown,0,silver,3,1,0,0
422,16,female,1,silver,6,0,0,1
423,49,male,1,platinum,8,0,1,0
424,44,unknown,1,platinum,6,1,0,1
425,66,male,0,platinum,7,1,0,1
426,19,female,1,gold,6,1,1,1
427,39,unknown,0,silver,2,1,0,0
428,56,unknown,1,silver,11,1,0,0
429,64,male,0,gold,2,0,1,0
430,17,female,1,silver,8,0,0,1
431,38,female,0,silver,10,1,1,0
432,71,female,0,base,11,0,0,0
433,24,unknown,0,platinum,5,0,1,0
434,43,male,0,base,1,1,0,1
435,74,female,1,platinum,1,1,1,1
436,59,male,0,base,10,1,0,1
437,65,unknown,1,silver,5,1,1,1
438,63,unknown,0,platinum,8,1,1,1
439,20,male,1,gold,10,0,0,0
440,71,unknown,1,base,3,1,1,0
441,56,unknown,0,base,4,0,1,0
442,25,unknown,0,platinum,11,0,0,1
443,18,female,0,gold,1,0,1,0
444,33,unknown,1,base,2,1,1,1
445,33,male,1,silver,6,0,1,0
446,72,female,1,base,5,1,1,0
447,49,female,1,base,7,0,0,1
448,66,unknown,0,platinum,6,0,1,1
449,27,female,1,base,3,1,1,1
450,44,female,1,base,7,1,1,0
451,34,male,0,platinum,8,0,1,0
452,19,female,1,platinum,3,0,0,1
453,55,unknown,0,gold,7,0,1,0
454,24,female,0,silver,1,1,0,0
455,54,male,1,base,5,1,1,1
456,26,unknown,0,platinum,6,1,0,0
457,31,unknown,1,silver,3,0,1,0
458,33,unknown,0,platinum,11,1,0,1
459,44,female,1,silver,4,0,0,0
460,49,unknown,1,gold,11,1,0,0
461,17,female,0,silver,3,0,0,0
462,16,female,0,platinum,7,0,1,1
463,54,female,0,base,7,0,0,1
464,57,female,0,platinum,11,1,0,1
465,51,female,1,base,7,0,1,0
466,64,female,1,base,4,1,1,1
467,74,female,0,silver,3,0,1,0
468,18,unknown,1,base,7,1,0,0
469,26,unknown,0,base,7,1,1,0
470,32,unknown,1,base,9,1,1,0
471,47,unknown,0,base,8,0,1,0
472,57,female,1,silver,6,0,0,1
473,34,unknown,1,gold,2,0,1,1
474,41,female,1,base,2,1,1,0
475,17,unknown,1,base,8,1,0,1
476,47,female,1,base,2,0,1,0
477,50,female,1,platinum,7,0,1,0
478,39,unknown,1,silver,5,1,1,1
479,67,female,0,platinum,4,0,0,1
480,57,male,0,gold,4,0,1,0
481,54,male,1,gold,3,1,0,1
482,32,male,1,platinum,11,0,1,1
483,55,female,0,platinum,2,1,0,0
484,19,male,1,gold,2,0,0,1
485,34,unknown,1,base,10,0,0,0
486,22,male,0,gold,10,0,0,0
487,12,female,0,platinum,11,0,0,0
488,20,female,0,base,5,0,0,0
489,61,female,0,gold,3,0,0,0
490,38,female,0,platinum,5,0,0,1
491,16,unknown,0,platinum,4,0,1,1
492,48,male,0,silver,1,1,1,1
493,13,female,0,silver,8,0,0,0
494,33,male,1,gold,9,1,0,1
495,42,unknown,0,base,6,0,0,0
496,16,male,1,silver,8,0,0,1
497,61,male,0,silver,3,0,1,0
498,66,female,1,silver,4,0,0,1
499,29,unknown,1,gold,9,1,0,1
500,63,male,1,platinum,1,1,0,0
501,72,unknown,1,platinum,5,1,0,0
502,32,unknown,1,platinum,1,0,0,1
503,67,unknown,0,base,7,0,1,1
504,36,female,1,gold,8,1,1,0
505,51,female,0,silver,8,1,1,0
506,72,female,1,base,10,0,0,1
507,54,unknown,0,gold,1,0,1,0
508,37,unknown,1,gold,1,0,0,1
509,73,unknown,0,gold,8,1,0,1
510,70,female,0,gold,2,1,1,0
511,53,female,0,gold,4,1,1,0
512,38,male,1,platinum,10,0,0,1
513,17,unknown,0,gold,2,1,1,0
514,69,male,1,gold,9,0,1,1
515,12,male,0,gold,9,1,1,1
516,22,female,1,base,3,1,0,1
517,14,male,0,silver,7,0,0,0
518,44,unknown,1,platinum,7,1,1,0
519,44,unknown,0,base,10,0,0,0
520,35,female,1,base,6,0,0,0
521,53,female,0,platinum,4,1,0,1
522,12,female,0,base,4,1,0,1
523,70,female,0,gold,6,0,1,1
524,62,male,0,base,2,1,0,0
525,25,unknown,1,silver,5,0,1,0
526,67,female,0,base,9,0,1,1
527,19,unknown,0,platinum,9,0,1,0
528,12,unknown,1,silver,6,0,1,0
529,54,male,1,platinum,6,1,0,0
530,17,female,0,silver,1,0,0,0
531,20,male,0,platinum,10,0,0,0
532,71,female,0,silver,11,1,1,1
533,42,female,1,silver,5,1,0,1
534,53,female,1,base,8,0,0,0
535,17,female,0,base,10,0,0,0
536,74,unknown,1,platinum,9,1,0,1
537,49,female,0,silver,10,1,1,0
538,25,male,1,base,1,0,0,1
539,34,male,1,platinum,7,1,0,0
540,43,male,1,gold,2,1,0,0
541,44,male,1,gold,1,1,0,1
542,35,unknown,1,silver,11,0,1,0
543,69,male,0,gold,5,0,0,1
544,48,male,1,platinum,9,0,0,1
545,15,unknown,1,gold,8,1,1,1
546,25,female,0,gold,3,0,1,1
547,38,unknown,0,base,11,1,1,0
548,15,unknown,0,platinum,1,0,0,0
549,69,male,1,silver,2,1,1,0
550,42,unknown,0,base,3,0,1,0
551,17,unknown,0,base,5,1,0,0
552,35,male,0,base,3,1,0,0
553,49,male,1,base,10,0,0,0
554,21,unknown,0,base,5,0,1,1
555,37,male,1,platinum,4,1,1,1
556,50,unknown,1,silver,6,1,1,1
557,35,unknown,1,gold,7,1,1,1
558,55,female,1,platinum,3,0,0,0
559,15,unknown,1,gold,10,1,0,1
560,48,male,1,platinum,5,1,0,0
561,64,female,1,silver,9,1,1,1
562,42,female,1,platinum,4,1,1,1
563,35,male,1,platinum,1,0,0,1
564,70,male,0,base,5,0,0,0
565,33,unknown,1,platinum,9,0,0,0
566,59,unknown,1,gold,7,0,0,1
567,59,male,1,gold,7,0,1,0
568,41,male,1,gold,8,1,0,0
569,64,male,1,base,3,0,0,0
570,71,male,1,base,6,1,1,1
571,15,male,1,platinum,9,1,1,0
572,26,female,0,platinum,2,0,1,0
573,40,unknown,0,gold,8,0,0,0
574,26,male,0,gold,5,1,0,1
575,52,female,1,base,6,0,1,0
576,28,female,1,base,1,0,0,0
577,30,female,1,base,8,0,1,0
578,61,female,1,base,7,1,1,1
579,27,unknown,1,gold,1,0,1,1
580,23,unknown,1,silver,11,0,1,0
581,12,unknown,0,gold,4,1,0,1
582,48,unknown,0,base,11,1,1,0
583,64,male,1,base,3,1,1,0
584,55,unknown,1,gold,5,0,0,0
585,59,male,1,silver,8,0,0,0
586,50,unknown,0,platinum,5,1,0,0
587,25,female,1,platinum,5,1,0,1
588,13,male,0,platinum,4,0,0,0
589,29,female,0,base,1,1,0,0
590,44,male,1,gold,1,1,1,1
591,51,female,1,platinum,3,1,1,0
592,37,male,1,base,6,0,1,0
593,22,male,1,base,10,1,1,0
594,46,female,0,base,6,0,0,0
595,50,male,0,platinum,4,1,1,0
596,40,unknown,0,base,9,0,1,1
597,74,female,1,platinum,6,1,1,0
598,40,male,0,gold,9,0,1,1
599,58,female,1,silver,10,1,1,1
600,38,male,1,gold,8,1,1,0
601,45,male,1,base,10,1,1,0
602,37,unknown,1,base,6,0,0,0
603,74,unknown,1,silver,2,0,1,1
604,16,female,0,gold,7,1,0,0
605,36,male,0,gold,9,1,0,0
606,66,unknown,0,platinum,7,1,1,0
607,48,female,1,gold,6,0,0,0
608,39,unknown,1,platinum,1,0,1,0
609,30,male,1,platinum,11,1,1,1
610,69,unknown,1,silver,8,0,1,0
611,52,unknown,0,silver,6,1,0,0
612,56,female,1,platinum,4,0,1,1
613,62,female,0,gold,8,0,0,1
614,37,female,0,platinum,1,1,1,0
615,62,female,0,silver,9,1,1,1
616,30,unknown,1,base,8,1,0,1
617,49,unknown,0,silver,10,0,0,0
618,62,female,1,base,10,1,0,1
619,56,female,1,silver,2,1,1,0
620,56,female,1,platinum,4,0,1,0
621,45,female,1,gold,1,1,0,1
622,28,male,1,base,3,0,0,1
623,38,female,1,platinum,9,0,1,0
624,18,female,1,base,7,1,1,1
625,30,male,1,gold,7,1,1,1
626,62,unknown,1,silver,4,0,0,1
627,43,female,1,gold,10,0,1,0
628,38,male,1,gold,10,0,1,0
629,48,unknown,0,base,5,0,1,0
630,19,unknown,1,base,5,0,0,0
631,25,male,0,silver,7,1,0,1
632,73,unknown,0,base,5,0,1,0
633,16,female,0,platinum,10,0,1,0
634,41,male,0,base,6,1,1,0
635,44,male,1,base,10,1,1,0
636,37,unknown,1,silver,7,1,1,0
637,39,male,1,base,5,1,0,0
638,55,male,1,platinum,5,1,0,0
639,48,female,1,platinum,5,1,1,0
640,65,male,0,gold,3,1,1,1
641,39,female,0,base,7,1,0,0
642,71,female,0,silver,2,1,0,1
643,38,unknown,1,platinum,7,0,0,1
644,20,female,1,gold,1,0,0,0
645,19,female,0,base,11,0,0,0
646,54,female,0,base,9,0,1,1
647,39,unknown,0,gold,1,1,0,0
648,23,female,1,base,9,1,1,1
649,35,unknown,1,base,2,0,1,1
650,73,unknown,0,silver,8,0,1,1
651,57,unknown,0,platinum,7,0,0,0
652,15,unknown,1,gold,3,1,0,1
653,55,unknown,0,gold,2,1,1,0
654,17,male,1,silver,7,1,1,1
655,19,female,0,gold,6,0,1,1
656,39,female,1,base,8,1,1,1
657,21,male,1,silver,5,1,1,1
658,41,female,0,base,2,0,1,0
659,13,female,1,silver,3,1,1,1
660,28,male,1,platinum,7,1,0,1
661,23,unknown,1,gold,8,0,0,0
662,34,unknown,1,silver,6,1,0,0
663,71,male,1,base,9,0,0,0
664,32,unknown,0,silver,11,0,1,1
665,74,unknown,0,silver,10,0,0,1
666,30,female,0,gold,8,1,1,1
667,14,male,0,platinum,6,0,1,1
668,46,male,0,silver,10,0,1,0
669,45,male,1,platinum,2,0,1,1
670,32,male,1,platinum,8,0,1,0
671,17,male,0,silver,5,0,1,0
672,21,male,0,platinum,2,1,1,0
673,61,unknown,1,gold,3,1,1,0
674,20,unknown,0,base,3,1,0,1
675,70,male,1,silver,11,1,1,0
676,27,male,0,base,4,0,0,1
677,37,male,1,gold,3,0,0,0
678,54,female,0,base,5,1,1,1
679,68,female,0,base,8,1,0,1
680,33,female,1,platinum,3,0,0,0
681,19,female,1,silver,5,1,1,1
682,31,female,1,gold,9,1,0,1
683,36,unknown,1,platinum,11,1,1,0
684,62,female,1,silver,10,0,0,0
685,22,female,0,gold,11,0,1,0
686,72,male,0,silver,10,1,0,1
687,41,male,1,gold,6,1,0,1
688,67,male,1,base,11,0,0,1
689,70,male,1,gold,9,1,1,1
690,53,male,1,gold,9,0,1,0
691,71,male,1,gold,6,1,0,0
692,54,male,0,platinum,10,0,0,1
693,14,unknown,1,gold,9,0,1,1
694,66,unknown,0,platinum,4,0,1,1
695,23,unknown,1,platinum,9,1,1,1
696,23,female,0,gold,4,1,1,0
697,16,unknown,1,platinum,4,1,0,1
698,44,unknown,0,silver,2,1,1,0
699,65,female,0,platinum,4,1,1,0
700,20,unknown,1,silver,6,1,0,1
701,34,female,1,base,11,1,1,0
702,40,unknown,1,gold,6,0,0,0
703,16,male,0,base,6,0,0,1
704,59,unknown,0,silver,9,1,0,0
